type,common
application,application
software,application
courseware,application
freeware,application
groupware,application
operating system,application
os,application
presentation software,application
productivity software,application
program,application
shareware,application
spreadsheet,application
systems software,application
vaporware,application
app,application
exe,application
dir,dir
folder,dir
fol,dir
directory,dir
binder,dir
ring binder,dir
portfolio,dir
document case,dir
envelope,dir
sleeve,dir
jacket,dir
wrapper,dir
wallet,dir
file,file
register,file
report,file
log,file
chronicle,file
archive,file
catalogue,file
record,file
write,file
detail,file
note,file
describe,file
cite,file
instance,file
tabulate,file
chart,file
diarize,file